,ID,Title,Adult,Budget,Genres,Language,Overview,Popularity,Production Countries,Release Date,Revenue,Runtime,Spoken Languages,Status,Video,Average Vote,Vote Count,Profit,Profitability,Days Out,Years Out,Critical Acclaim,log Budget,log Critical Acclaim
21,20662,Robin Hood,False,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",17.213,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-05-12,310669540.0,140.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'uk', 'name': 'Український'}]",Released,False,6.3,2428.0,110669540.0,Profitable,3221,8.824657534246576,4.748959950325985,19.11382792451231,1.557925636245677
22,57158,The Hobbit: The Desolation of Smaug,False,250000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",24.813000000000002,"[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-12-11,958400000.0,161.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,7.6,7333.0,708400000.0,Profitable,1912,5.238356164383561,29.147907949790792,19.33697147582652,3.3723831417747383
23,2268,The Golden Compass,False,180000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",29.473000000000003,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-04,372234864.0,113.0,"[{'iso_639_1': 'is', 'name': 'Íslenska'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,False,6.0,2437.0,192234864.0,Profitable,4111,11.263013698630138,3.556798832400876,19.008467408854486,1.2688609359553829
26,271110,Captain America: Civil War,False,240000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",39.53,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-04-27,1153304495.0,147.0,"[{'iso_639_1': 'ro', 'name': 'Română'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,False,7.3,12956.0,913304495.0,Profitable,1044,2.8602739726027395,90.59272030651341,19.296149481306266,4.506373860002982
27,44833,Battleship,False,209000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father, Admiral Shane, expect of him.",13.717,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-11,303025485.0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,False,5.6,3108.0,94025485.0,Profitable,2521,6.906849315068493,6.903927013090043,19.157844809929085,1.9320903820407218
28,135397,Jurassic World,False,150000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",28.379,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-06-06,1671713208.0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.6,13508.0,1521713208.0,Profitable,1370,3.7534246575342465,65.07503649635035,18.82614585206053,4.1755410117156675
29,37724,Skyfall,False,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",21.430999999999997,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-10-25,1108561013.0,143.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,7.1,10104.0,908561013.0,Profitable,2324,6.367123287671233,30.868502581755592,19.11382792451231,3.429736330105795
31,68721,Iron Man 3,False,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",25.928,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-04-18,1215439994.0,130.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.9,13251.0,1015439994.0,Profitable,2149,5.887671232876713,42.546254071661245,19.11382792451231,3.7505918152253397
32,12155,Alice in Wonderland,False,200000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",19.572,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-03-03,1025491110.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.5,8205.0,825491110.0,Profitable,3291,9.016438356164384,16.20556061987238,19.11382792451231,2.7853544314824425
33,36668,X-Men: The Last Stand,False,210000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",1.4409999999999998,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-05-24,459359555.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,False,6.4,5556.0,249359555.0,Profitable,4670,12.794520547945206,7.614218415417559,19.162618088681743,2.0300173435769175
